effective_date,ticker,action,primary_source,secondary_source,agreement,confidence,note
2008-09-30,APH,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-09-30,WAMUQ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-09-30,WEN,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-10-02,FLS,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-10-07,KDP,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-10-07,WWY,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-10-22,DDS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-10-22,NDAQ,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-10-31,MTG,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-10-31,WEC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-11-06,SJM,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-11-06,TEX,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-11-11,UIS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-11-13,GGP,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-11-13,PBCT,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-11-14,ASH,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-11-14,HPC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-11-14,WYNN,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-11-14,XRAY,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-11-17,CEPH,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-11-18,BUD,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-11-19,SRCL,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-11-24,ABI,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-11-24,LIFE,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2008-12-02,DNB,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2008-12-02,KATE,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-12-05,AW,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-12-05,RSG,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-12-19,EQT,ADD,qzzcl,leandroloi,True,CONFIRMED,
2008-12-19,RIG,REMOVE,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2008-12-23,BRL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2008-12-23,MFE,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2009-01-02,FLIR,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-01-02,MER,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-01-02,NCC,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-01-02,OI,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-01-02,SCG,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-01-02,WB,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-01-06,IRM,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-01-06,UST,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-01-30,SOV,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-01-30,WELL,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-02-26,DO,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2009-02-26,WFT,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-03-04,ACAS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-03-04,HRL,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-03-04,JNY,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-03-04,VTR,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-03-17,ES,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-03-27,NE,REMOVE,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2009-03-27,ORLY,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-03-30,DDR,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-03-30,TWC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-04-02,DNR,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-04-02,ROH,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-06-03,MTLQQ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-06-05,COV,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-06-05,FTI,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-06-09,ATGE,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-06-26,TEL,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-06-30,TMUS,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-07-01,EQ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-07-01,IR,REMOVE,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2009-07-01,PWR,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-07-01,WDC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-07-27,CITGQ,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-07-27,RHT,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-08-19,CTX,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-08-19,FMC,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-09-01,CFN,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-09-01,MTW,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-09-09,ARG,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-09-09,CBE,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-10-16,FSLR,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-10-16,WYE,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-11-04,SGP,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-11-06,BKNG,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,CIEN,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,CLF,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,CVG,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,DYN,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,KBH,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,LDOS,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,MBI,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,MJN,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,ROST,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-12-21,V,ADD,qzzcl,leandroloi,True,CONFIRMED,
2009-12-23,ESV,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2009-12-23,ROP,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-01-27,JAVA,REMOVE,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2010-01-29,NRG,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-02-08,ACS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2010-02-08,URBN,ADD,qzzcl,leandroloi,False,NOT_CROSS_CHECKED,secondary source roster was implausibly small in this window (see membership_audit.json)
2010-02-16,BNI,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2010-02-16,BRK-B,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-02-26,RX,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2010-03-01,DISCA,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-03-01,HP,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-03-01,PBG,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2010-03-15,BDK,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2010-03-15,OKE,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-04-29,BJS,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2010-04-30,CERN,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-06-28,KMX,ADD,qzzcl,leandroloi,True,CONFIRMED,
2010-06-28,XTO,REMOVE,qzzcl,leandroloi,True,CONFIRMED,
2010-07-01,QEP,ADD,qzzcl,leandroloi,True,CONFIRMED,
