date,Q1,Q2,Q3,Q4,Q5,horizon
2006-07-05,-0.03957595550053566,-0.027358267991138597,-0.027015567478595515,-0.032508492907030166,-0.05100885234645747,10
2006-07-06,-0.06157342352290219,-0.0464677373578202,-0.05048133122463014,-0.05778203490455413,-0.08394772810047668,10
2006-07-07,-0.06673946060845906,-0.044063875933259486,-0.050894940705915596,-0.05917070999991381,-0.09028004081403414,10
2006-07-10,-0.046868859340361446,-0.023897901027289385,-0.02830445704085596,-0.03450290127042123,-0.054449645984652684,10
2006-07-11,-0.0421680294543758,-0.021626972435113762,-0.02191800815233928,-0.03220189560832284,-0.05462621244924702,10
2006-07-12,-0.022052319020919142,-0.007347330308995112,-0.013096604463895357,-0.017116375310491146,-0.04479313421355248,10
2006-07-13,-0.013459305729240874,0.0017895140088933202,-0.0009305601486195909,-0.01045762875165358,-0.03450752154553475,10
2006-07-14,0.007124218108646617,0.02564276974335245,0.021486306563408695,0.018778007154555472,-0.0005693129990206142,10
2006-07-17,0.01628110098214448,0.0347412523970341,0.029416694471087666,0.03226943967671803,0.02003247240822011,10
2006-07-18,0.005610482127261946,0.016189433413065116,0.0186540320977075,0.016037702967221734,0.0011820447732759783,10
2006-07-19,-0.008973057955707908,0.0012565969901726334,0.0030646173035322457,-0.003675103322864399,-0.01886800156485705,10
2006-07-20,0.021500610500072855,0.026618145888127328,0.03436912468637594,0.030311586215402236,0.029731652415535586,10
2006-07-21,0.03636621651442981,0.03471765974904578,0.04133960508861209,0.04433484065328495,0.04534948393581168,10
2006-07-24,0.006963209582259588,0.008473806588302877,0.013494548917257434,0.012112486166561248,0.005435998409066398,10
2006-07-25,-0.012602652170344278,-0.015708138379581727,-0.0019433369461395852,-0.013157608569169683,-0.012839765813320074,10
2006-07-26,-0.02453749510796451,-0.01943539664569641,-0.008649846771569363,-0.014440823265256872,-0.015625631697722873,10
2006-07-27,-0.009380032189853954,-0.003405976787043348,0.0036348664357926863,0.00512770274578101,0.006733609705322251,10
2006-07-28,-0.03180722325415659,-0.02529947109856661,-0.014024712885582427,-0.02557791082461934,-0.03209761085718238,10
2006-07-31,-0.03231874926920109,-0.02208687806655701,-0.01692554766316534,-0.021350074124120117,-0.044463508934147515,10
