date,horizon,ic
2006-06-27,10,0.12181165900454467
2006-06-28,10,0.08587085674994491
2006-06-29,10,0.01226911461358461
2006-06-30,10,-0.03330208513064697
2006-07-03,10,-0.06024326810405289
2006-07-05,10,0.011312767224308592
2006-07-06,10,-0.04168414039868979
2006-07-07,10,-0.0556548899443814
2006-07-10,10,-0.021687166009269666
2006-07-11,10,-0.03594630558428439
2006-07-12,10,-0.061451526184705355
2006-07-13,10,-0.03278236945709623
2006-07-14,10,-0.020544633710843602
2006-07-17,10,-0.0009713946266420642
2006-07-18,10,-0.02931628604592487
2006-07-19,10,-0.030708097675461832
2006-07-20,10,-0.01824304045364177
2006-07-21,10,-0.018325894258116357
2006-07-24,10,-0.01272894092309089
2006-07-25,10,0.024500312809953552
2006-07-26,10,0.053223442622130156
2006-07-27,10,0.020142484664666557
2006-07-28,10,0.019361363343434895
2006-07-31,10,0.010502439816303354
2006-08-01,10,0.013182048480171769
2006-08-02,10,-0.019433131663559255
2006-08-03,10,-0.06637099041563148
2006-08-04,10,-0.060635171957496466
2006-08-07,10,-0.05121512016892163
2006-08-08,10,-0.06677081467565114
2006-08-09,10,-0.08288338675635842
2006-08-10,10,-0.10767908357504047
2006-08-11,10,-0.11937445399494585
2006-08-14,10,-0.12563821187288132
2006-08-15,10,-0.13949695740940535
2006-08-16,10,-0.11300530305648887
2006-08-17,10,-0.07498929935161205
2006-08-18,10,-0.058391059344763775
2006-08-21,10,-0.08061829049390513
2006-08-22,10,-0.072365641094802
2006-08-23,10,-0.05443294961953456
2006-08-24,10,-0.0780531717889109
2006-08-25,10,-0.10142220728633654
2006-08-28,10,-0.15463397766245032
2006-08-29,10,-0.14512247739727854
2006-08-30,10,-0.1093332984951929
2006-08-31,10,-0.11478545174557925
2006-09-01,10,-0.1060593375563665
2006-09-05,10,-0.10168850853537725
2006-09-06,10,-0.11810964072237878
2006-09-07,10,-0.131763708617012
2006-09-08,10,-0.10738111042597
2006-09-11,10,-0.0904335190074387
2006-09-12,10,-0.032546865294134746
2006-09-13,10,-0.0037715078128888104
2006-09-14,10,0.013206491448854735
2006-09-15,10,0.04771431049262364
2006-09-18,10,0.036017318247147906
2006-09-19,10,0.013850686318737768
2006-09-20,10,-0.0014442358757397731
2006-09-21,10,0.0033900721957473637
2006-09-22,10,-0.01816513162449484
2006-09-25,10,-0.01449939157216503
2006-09-26,10,-0.004985466037365223
2006-09-27,10,-0.023624625324083923
2006-09-28,10,-0.07547860959093883
2006-09-29,10,-0.09585199029539973
2006-10-02,10,-0.14508146355356397
2006-10-03,10,-0.15608098686074626
2006-10-04,10,-0.14361374726174866
