formation_date,entry_date,exit_date,n_holdings,gross_return,net_return,turnover,cost,median_marketcap,median_adv_proxy
2007-12-05,2007-12-06,2008-01-07,354,-0.04613656411017292,-0.0465084649366192,0.371900826446281,0.00037190082644628097,1355.6999999999998,
2008-01-04,2008-01-07,2008-02-05,350,-0.05285716008456236,-0.053222706303049754,0.36554621848739494,0.00036554621848739496,1248.15,
2008-02-04,2008-02-05,2008-03-05,349,-0.022850677734642798,-0.023388599082957404,0.5379213483146067,0.0005379213483146067,957.2,
2008-03-04,2008-03-05,2008-04-03,351,0.02539849161068351,0.02496187189237365,0.43661971830985913,0.0004366197183098591,848.1,
2008-04-02,2008-04-03,2008-05-01,350,0.012173384996003728,0.011745622956343672,0.42776203966005666,0.00042776203966005664,887.5,
2008-04-30,2008-05-01,2008-05-30,348,0.06256781690744302,0.06208491092453704,0.4829059829059829,0.0004829059829059829,993.95,
2008-05-29,2008-05-30,2008-06-27,343,-0.04309074470827608,-0.04357781367379332,0.4870689655172414,0.00048706896551724136,1000.7,
2008-06-26,2008-06-27,2008-07-28,342,-0.0403558054324966,-0.040752906881771966,0.39710144927536234,0.0003971014492753624,961.0,
2008-07-25,2008-07-28,2008-08-25,339,0.018769607584644334,0.0183206279928076,0.4489795918367347,0.00044897959183673463,669.95,
2008-08-22,2008-08-25,2008-09-23,339,-0.05304868665011508,-0.053509328049531985,0.4606413994169096,0.0004606413994169096,720.6,
2008-09-22,2008-09-23,2008-10-21,341,-0.25905658530579734,-0.25955512757984983,0.49854227405247814,0.0004985422740524781,664.5,
2008-10-20,2008-10-21,2008-11-18,333,-0.15669043482833903,-0.15716273803533612,0.47230320699708456,0.0004723032069970846,767.6,
2008-11-17,2008-11-18,2008-12-17,328,0.04346405758190473,0.04303590508923611,0.4281524926686217,0.00042815249266862167,813.9,
2008-12-16,2008-12-17,2009-01-16,314,-0.025581833682563886,-0.025950413742986848,0.3685800604229607,0.0003685800604229607,892.9,
2009-01-15,2009-01-16,2009-02-17,307,-0.052208745586823056,-0.05266300426190192,0.45425867507886436,0.00045425867507886436,730.7,
2009-02-13,2009-02-17,2009-03-17,300,-0.08589808607055655,-0.0864806103424012,0.5825242718446602,0.0005825242718446601,582.6,
2009-03-16,2009-03-17,2009-04-15,289,0.18147211324926357,0.18098374115624033,0.4883720930232558,0.0004883720930232558,791.5,
2009-04-14,2009-04-15,2009-05-13,289,0.12101466933083418,0.12054044252671048,0.4742268041237113,0.00047422680412371137,702.2,
2009-05-12,2009-05-13,2009-06-11,288,0.13688425679589972,0.13634100420074402,0.5432525951557093,0.0005432525951557094,686.4,
2009-06-10,2009-06-11,2009-07-10,291,-0.1710629100642324,-0.17144133472176665,0.3784246575342466,0.00037842465753424654,607.35,
2009-07-09,2009-07-10,2009-08-07,289,0.266363643532947,0.2659967493349948,0.36689419795221845,0.00036689419795221846,531.8,
2009-08-06,2009-08-07,2009-09-04,301,0.0077620708639499205,0.007263731993518027,0.4983388704318937,0.0004983388704318937,742.5,
2009-09-03,2009-09-04,2009-10-05,307,0.05622865705859638,0.055759401395165956,0.4692556634304207,0.0004692556634304207,662.8,
2009-10-02,2009-10-05,2009-11-02,311,-0.03593431263060976,-0.03634354829939957,0.40923566878980894,0.00040923566878980894,714.7,
2009-10-30,2009-11-02,2009-12-01,312,0.05212540520361313,0.05163495934374052,0.49044585987261147,0.0004904458598726115,780.0,
2009-11-30,2009-12-01,2009-12-30,313,0.08031234923601842,0.0799006773117282,0.4116719242902208,0.0004116719242902208,1012.45,
2009-12-29,2009-12-30,2010-01-29,317,-0.04274018579993482,-0.04316965288457432,0.42946708463949845,0.0004294670846394984,1006.45,
2010-01-28,2010-01-29,2010-03-01,318,0.05302436491200421,0.052557075192378046,0.4672897196261682,0.00046728971962616824,686.2,
2010-02-26,2010-03-01,2010-03-29,320,0.0747848495368455,0.07438921090756201,0.3956386292834891,0.00039563862928348906,762.3,
2010-03-26,2010-03-29,2010-04-27,318,0.09383810726808844,0.09344869916839997,0.3894080996884735,0.0003894080996884735,810.3,
2010-04-26,2010-04-27,2010-05-25,322,-0.18830705367986286,-0.1887404902123706,0.43343653250773995,0.00043343653250774,773.3,
2010-05-24,2010-05-25,2010-06-23,322,0.04424889987147439,0.04379043833301285,0.4584615384615385,0.00045846153846153845,681.1,
2010-06-22,2010-06-23,2010-07-22,322,-0.01920649838614699,-0.01967438829440387,0.46788990825688076,0.0004678899082568807,953.6,
2010-07-21,2010-07-22,2010-08-19,319,0.0002680468443420491,-0.00020307777571874116,0.47112462006079026,0.00047112462006079027,1352.3,
2010-08-18,2010-08-19,2010-09-17,328,0.059458341077226674,0.058938703614991025,0.5196374622356495,0.0005196374622356496,1020.3,
2010-09-16,2010-09-17,2010-10-15,324,0.10169048471218599,0.10127205570916484,0.41842900302114805,0.000418429003021148,1064.15,
2010-10-14,2010-10-15,2010-11-12,322,0.03292974050956672,0.03250291124127404,0.4268292682926829,0.0004268292682926829,813.4,
2010-11-11,2010-11-12,2010-12-13,320,0.08812334860321278,0.08767702958480787,0.44631901840490795,0.0004463190184049079,877.4000000000001,
2010-12-10,2010-12-13,2011-01-11,316,0.019161263583820087,0.018843926122519776,0.3173374613003096,0.00031733746130030964,835.7,
2011-01-10,2011-01-11,2011-02-09,316,0.024218882559726294,0.02389022212358922,0.32866043613707163,0.0003286604361370716,933.15,
2011-02-08,2011-02-09,2011-03-10,321,-0.01725090667653355,-0.017721765572239073,0.4708588957055215,0.0004708588957055214,1170.1,
2011-03-09,2011-03-10,2011-04-07,330,0.05891375259651724,0.05849254047530512,0.4212121212121212,0.0004212121212121212,1280.6,
2011-04-06,2011-04-07,2011-05-06,327,-0.037213672683551975,-0.03761367268355197,0.4,0.0004,1179.0,
2011-05-05,2011-05-06,2011-06-06,327,-0.030433426327628382,-0.030873003366903306,0.4395770392749245,0.00043957703927492443,1249.4,
2011-06-03,2011-06-06,2011-07-05,321,0.0488894277085552,0.04847099870553405,0.41842900302114805,0.000418429003021148,1370.35,
2011-07-01,2011-07-05,2011-08-02,327,-0.04552623171533857,-0.045914110503217365,0.3878787878787879,0.0003878787878787879,1479.15,
2011-08-01,2011-08-02,2011-08-30,324,-0.10224127917116184,-0.10273670600043013,0.4954268292682927,0.0004954268292682927,966.55,
2011-08-29,2011-08-30,2011-09-28,320,-0.047980831399156244,-0.04841966931964554,0.43883792048929665,0.00043883792048929663,989.7,
2011-09-27,2011-09-28,2011-10-26,318,0.03762126248304116,0.03722555696156877,0.39570552147239263,0.0003957055214723926,1561.6,
2011-10-25,2011-10-26,2011-11-23,320,-0.050522871679802774,-0.05097811859338302,0.45524691358024694,0.0004552469135802469,1530.7,
2011-11-22,2011-11-23,2011-12-22,318,0.06624981957449326,0.06565848830514341,0.5913312693498453,0.0005913312693498453,1016.4,
2011-12-21,2011-12-22,2012-01-24,315,0.04911926389110054,0.048685827358592795,0.43343653250773995,0.00043343653250774,757.9,
2012-01-23,2012-01-24,2012-02-22,313,0.07698029731570402,0.0765512752336851,0.42902208201892744,0.00042902208201892744,803.5,
2012-02-21,2012-02-22,2012-03-21,311,0.008445458786179676,0.007924823865544755,0.5206349206349207,0.0005206349206349207,807.0,
2012-03-20,2012-03-21,2012-04-19,313,-0.04873378714746582,-0.04918123937676518,0.44745222929936307,0.00044745222929936306,1206.8000000000002,
2012-04-18,2012-04-19,2012-05-17,309,-0.06852472929538381,-0.06896740445461948,0.4426751592356688,0.00044267515923566877,1579.85,
2012-05-16,2012-05-17,2012-06-15,310,-0.02134829999893509,-0.021851505127140215,0.5032051282051282,0.0005032051282051282,1410.6,
2012-06-14,2012-06-15,2012-07-16,307,0.04015450404919036,0.039789119433805746,0.36538461538461536,0.0003653846153846154,1168.75,
2012-07-13,2012-07-16,2012-08-13,307,0.006691339683661368,0.006295506350328035,0.3958333333333333,0.0003958333333333333,888.2,
2012-08-10,2012-08-13,2012-09-11,308,0.04795268484132151,0.04741570734936009,0.5369774919614148,0.0005369774919614148,1049.8,
2012-09-10,2012-09-11,2012-10-09,304,-0.0034539678148455748,-0.0038649710510915295,0.4110032362459547,0.0004110032362459547,1028.0,
2012-10-08,2012-10-09,2012-11-08,301,-0.022261837011642787,-0.022645443569019836,0.3836065573770492,0.00038360655737704923,1207.2,
2012-11-07,2012-11-08,2012-12-07,300,0.00691973255416821,0.006357026283541147,0.5627062706270627,0.0005627062706270626,1444.25,
2012-12-06,2012-12-07,2013-01-08,294,0.05340402258134098,0.052958658342930384,0.445364238410596,0.00044536423841059597,1464.3,
2013-01-07,2013-01-08,2013-02-06,293,0.03811458343346969,0.03764970049032588,0.46488294314381273,0.00046488294314381274,1235.3,
2013-02-05,2013-02-06,2013-03-07,298,0.023914579234391865,0.023396184585562432,0.5183946488294314,0.0005183946488294314,1230.9,
