strategy,rebalance_date,period_end,symbol,rank,score,target_weight,holding_return,gross_return_contribution,actual_start_weight,ending_weight
Market-Residual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,KO,3,-0.006501532429938783,0.2,0.047328683098724955,0.009465736619744992,0.20003587325365058,0.20953932797067423
Market-Residual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,MSFT,4,-0.00660887207869898,0.2,-0.1023369956174901,-0.02046739912349802,0.20003587325365058,0.18133387968641282
Market-Residual Momentum,2022-04-01 00:00:00-04:00,2022-05-02 00:00:00-04:00,JNJ,5,-0.0067960658848805755,0.2,0.01931651740309559,0.003863303480619118,0.20003587325365058,0.2060383133880165
Market-Residual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,MCD,1,-0.005421526719867065,0.2,0.009288357130524227,0.0018576714261048456,0.200001460555056,0.20284862526852962
Market-Residual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,KO,2,-0.006685737230347488,0.2,-0.028492624359373386,-0.0056985248718746774,0.20000146055505608,0.19589044053249785
Market-Residual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,MSFT,3,-0.006940474173414035,0.2,-0.006730047409718165,-0.001346009481943633,0.20000146055505602,0.19797994480689685
Market-Residual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,HON,4,-0.0070822564486476836,0.2,0.005181679964743946,0.0010363359929487892,0.20000146055505602,0.20128670026873463
Market-Residual Momentum,2022-05-02 00:00:00-04:00,2022-06-01 00:00:00-04:00,JNJ,5,-0.007263074224729049,0.2,-0.0009353660519683116,-0.00018707321039366232,0.20000146055505602,0.20200167732206156
Market-Residual Momentum,2022-06-01 00:00:00-04:00,2022-07-01 00:00:00-04:00,MCD,1,-0.005710438111941274,0.2,-0.02162299577071125,-0.00432459915414225,0.20001602635626187,0.2082940806103528
Market-Residual Momentum,2022-06-01 00:00:00-04:00,2022-07-01 00:00:00-04:00,MSFT,2,-0.007354311899087085,0.2,-0.06835029508409018,-0.013670059016818038,0.2000160263562618,0.19825976202728068
Market-Residual Momentum,2022-06-01 00:00:00-04:00,2022-07-01 00:00:00-04:00,JNJ,3,-0.007789845023070563,0.2,-0.00948901297496596,-0.0018978025949931922,0.2000160263562618,0.21049571976480733
Market-Residual Momentum,2022-06-01 00:00:00-04:00,2022-07-01 00:00:00-04:00,AAPL,4,-0.007790895780059315,0.2,-0.09246141624322257,-0.018492283248644516,0.2000160263562618,0.1937616566928017
Market-Residual Momentum,2022-06-01 00:00:00-04:00,2022-07-01 00:00:00-04:00,HON,5,-0.008185760517890994,0.2,-0.10986892685678973,-0.021973785371357947,0.2000160263562618,0.1892741341401607
Market-Residual Momentum,2022-07-01 00:00:00-04:00,2022-08-01 00:00:00-04:00,AAPL,1,-0.005573171524014486,0.2,0.18354898604916192,0.03670979720983238,0.20000173091455378,0.21917191112521742
Market-Residual Momentum,2022-07-01 00:00:00-04:00,2022-08-01 00:00:00-04:00,MCD,2,-0.006207838710445168,0.2,0.06571962935008946,0.013143925870017892,0.20000173091455378,0.19614860175604623
Market-Residual Momentum,2022-07-01 00:00:00-04:00,2022-08-01 00:00:00-04:00,MSFT,3,-0.007084307491176167,0.2,0.08358322482207337,0.016716644964414672,0.20000173091455378,0.20089748624853726
Market-Residual Momentum,2022-07-01 00:00:00-04:00,2022-08-01 00:00:00-04:00,JNJ,4,-0.007225652233743052,0.2,-0.01848423084669193,-0.003696846169338386,0.20000173091455378,0.18044322452927447
Market-Residual Momentum,2022-07-01 00:00:00-04:00,2022-08-01 00:00:00-04:00,HON,5,-0.00798735499840586,0.2,0.10227486767504868,0.020454973535009736,0.20000173091455378,0.20334673727292285
Market-Residual Momentum,2022-08-01 00:00:00-04:00,2022-09-01 00:00:00-04:00,AAPL,1,-0.0061581194851911825,0.2,-0.02578972572258631,-0.0051579451445172625,0.20000152778354868,0.20312611644318834
Market-Residual Momentum,2022-08-01 00:00:00-04:00,2022-09-01 00:00:00-04:00,MCD,2,-0.006386851593435994,0.2,-0.03558159589687071,-0.0071163191793741426,0.20000152778354874,0.20070862448780308
Market-Residual Momentum,2022-08-01 00:00:00-04:00,2022-09-01 00:00:00-04:00,MSFT,3,-0.006969137146329185,0.2,-0.06623142135903581,-0.013246284271807164,0.20000152778354868,0.19592389064477334
Market-Residual Momentum,2022-08-01 00:00:00-04:00,2022-09-01 00:00:00-04:00,HON,4,-0.007753164826737158,0.2,-0.00687237910605909,-0.0013744758212118182,0.20000152778354868,0.20652465907740872
Market-Residual Momentum,2022-08-01 00:00:00-04:00,2022-09-01 00:00:00-04:00,JNJ,5,-0.007818126254690583,0.2,-0.06657230634133993,-0.013314461268267986,0.20000152778354868,0.1937246686207809
Market-Residual Momentum,2022-09-01 00:00:00-04:00,2022-10-03 00:00:00-04:00,AAPL,1,-0.0056086156740902116,0.2,-0.11765833934528169,-0.02353166786905634,0.20002042581651927,0.19539835422803137
Market-Residual Momentum,2022-09-01 00:00:00-04:00,2022-10-03 00:00:00-04:00,AMGN,2,-0.006200219657991668,0.2,-0.0532928890746317,-0.01065857781492634,0.20002042581651927,0.20703143578128613
Market-Residual Momentum,2022-09-01 00:00:00-04:00,2022-10-03 00:00:00-04:00,HON,3,-0.006271869857344181,0.2,-0.10087240908201378,-0.02017448181640276,0.20002042581651927,0.19550041423336292
Market-Residual Momentum,2022-09-01 00:00:00-04:00,2022-10-03 00:00:00-04:00,MSFT,4,-0.006832990329754152,0.2,-0.09062473802688542,-0.018124947605377084,0.20002042581651927,0.19925227237841447
Market-Residual Momentum,2022-09-01 00:00:00-04:00,2022-10-03 00:00:00-04:00,MCD,5,-0.006946349437123134,0.2,-0.07267117509719256,-0.014534235019438513,0.20002042581651927,0.20293092867792284
Market-Residual Momentum,2022-10-03 00:00:00-04:00,2022-11-01 00:00:00-04:00,MCD,1,-0.005245788590467981,0.2,0.17201969245302084,0.03440393849060417,0.20004461313481073,0.21691187720527746
Market-Residual Momentum,2022-10-03 00:00:00-04:00,2022-11-01 00:00:00-04:00,AAPL,2,-0.00565672355868263,0.2,0.12206049914520589,0.02441209982904118,0.20004461313481076,0.20611133351214286
Market-Residual Momentum,2022-10-03 00:00:00-04:00,2022-11-01 00:00:00-04:00,MSFT,3,-0.006268672146321541,0.2,-0.003440861331817313,-0.0006881722663634627,0.20004461313481073,0.1831860078645032
