date,n,observations,max_risk_contribution,top2_risk_contribution,risk_hhi,average_pairwise_correlation,maximum_pairwise_correlation,ex_ante_volatility
2024-09-03 00:00:00-04:00,5,60,0.3395895670993027,0.5536146755777018,0.23621933576194312,0.353114723238684,0.7867110990469717,0.19146299066910938
2024-10-01 00:00:00-04:00,5,60,0.38109627901484144,0.6161623654914348,0.2607278424179276,0.23871994635921912,0.5915519239419783,0.18753117398672375
2024-11-01 00:00:00-04:00,5,60,0.26854316799815864,0.5249866010115838,0.22561086510473782,0.315126451428139,0.7743386097595074,0.14809492599804466
2024-12-02 00:00:00-05:00,5,60,0.31584912985673186,0.6064080201457844,0.2590584888853875,0.37170146258500325,0.8939564247100537,0.20745281803378962
2025-01-02 00:00:00-05:00,5,60,0.3587118935350324,0.6288302141852522,0.26080472217359757,0.29310991383069684,0.7964229117892234,0.16673078300058503
2025-02-03 00:00:00-05:00,5,60,0.30862745116143675,0.5601907442596681,0.2366276143889622,0.3656826068142488,0.8977726942466381,0.2053867480807482
2025-03-03 00:00:00-05:00,5,60,0.28475316531140377,0.5207141422284803,0.2147976966159844,0.29656587170998894,0.5160077510763801,0.16050251785070624
2025-04-01 00:00:00-04:00,5,60,0.27681194254020314,0.4907687508756545,0.21015854978760135,0.3618685379106862,0.5320196368238311,0.17660287490059684
2025-05-01 00:00:00-04:00,5,60,0.2377411986819187,0.46404973399271504,0.2063043509159914,0.526972616754841,0.7230368437265194,0.25152637977526304
2025-06-02 00:00:00-04:00,5,60,0.2731301520503091,0.46844743674857914,0.20706910539467982,0.6748375917427605,0.8032569497674399,0.31381089817718116
2025-07-01 00:00:00-04:00,5,60,0.2694740295886816,0.5058830421047571,0.21076988241352881,0.7381738837228029,0.9115198689490077,0.3485761950287059
2025-08-01 00:00:00-04:00,5,60,0.2774737072776973,0.5086244917963195,0.21914862741215907,0.3209618868114549,0.8162229628536828,0.14737817941392622
2025-09-02 00:00:00-04:00,5,60,0.24424566381063148,0.4803225467892476,0.21158807338809899,0.3226505777445327,0.7682369619976922,0.1421911142166412
2025-10-01 00:00:00-04:00,5,60,0.6211095711605911,0.7631619021234488,0.43032362037518934,0.1905613305688944,0.7476226553404961,0.18542208624336198
2025-11-03 00:00:00-05:00,5,60,0.6418690764220304,0.8370402028642243,0.4236707223991176,0.022106658068192682,0.2975141548590311,0.1790830351871223
2025-12-01 00:00:00-05:00,5,60,0.6007737388848987,0.8027609548647507,0.39747596338788327,0.07563803811732998,0.3000324953120839,0.19521066352159464
2026-01-02 00:00:00-05:00,5,60,0.3901255913556005,0.6467198351357218,0.2734988462841207,0.18634649835556316,0.41406444650068724,0.19768933212222467
2026-02-02 00:00:00-05:00,5,60,0.5568004448560656,0.751593828719253,0.3769589202624502,0.19955236348206834,0.6369493521522661,0.23545802952022613
2026-03-02 00:00:00-05:00,5,60,0.5283390763269047,0.7518702335244642,0.35759923544983246,0.1568959596781039,0.5762595794064063,0.23733659160356715
2026-04-01 00:00:00-04:00,5,60,0.46230084799320537,0.6624257273948791,0.3047805960392415,0.24022119375543288,0.4465450531989687,0.27296329081950466
2026-05-01 00:00:00-04:00,5,60,0.5044081686966841,0.7102163588249382,0.33499794966507795,0.05922654238319989,0.33850730196689777,0.25318480315239006
2026-06-01 00:00:00-04:00,5,60,0.5433802999917248,0.7415318291089796,0.36028532599022217,0.054115689305697545,0.3579809069621886,0.26075444337192955
2026-07-01 00:00:00-04:00,5,60,0.546377297954826,0.774945919563407,0.37940772573141485,0.09775883169644146,0.641412819623679,0.2777785235402058
2026-08-03 00:00:00-04:00,5,60,0.513894463229455,0.7919179136059145,0.36399782244443263,0.0652384293039457,0.6229605439927075,0.27971895183324147
