scale,paths,breachProbability1m,breachProbability3m,breachProbability6m,breachProbability12m,dailyLimitBreachProbability,drawdownBreachProbability,expectedPayout,medianPayout,expectedNetPayout,medianNetPayout,p05NetPayout,probabilityAnyPayout,medianDaysToFirstPayout,medianDrawdownUtilization,p95DrawdownUtilization,expectedResets,expectedFees,candidate,label,drawdownRule
0.7,5000,0.0706,0.2218,0.3982,0.6678,0.4784,0.387,3823.8817762620665,2406.8651070513943,2591.4817762620664,1103.0146867044505,-2500.0,0.6574,138.0,0.9196210468161129,1.137129132466472,1.4648,1232.4,mrm,Canonical MRM,static
0.75,5000,0.076,0.2384,0.4286,0.7108,0.4784,0.4688,4412.368634298521,3111.711727662146,3117.9686342985215,1728.754692574183,-2500.0,0.6924,132.0,1.0001946626902245,1.1753320664254068,1.5888,1294.4,mrm,Canonical MRM,static
0.8,5000,0.082,0.2588,0.4632,0.7482,0.4784,0.5526,5079.082148403043,3878.9356709965505,3708.5821484030425,2481.5481059425456,-2500.0,0.7306,126.0,1.020890398895396,1.2063147095112212,1.741,1370.5,mrm,Canonical MRM,static
0.85,5000,0.1024,0.31,0.5392,0.8284,0.5808,0.5988,5546.049460963909,4286.97891370054,4023.2494609639093,2739.0287787626207,-2500.0,0.745,120.0,1.0350271234329993,1.2388781907277835,2.0456,1522.8,mrm,Canonical MRM,static
0.9,5000,0.1372,0.3926,0.641,0.8968,0.6992,0.6478,5651.912461917506,4326.568507798924,3858.9124619175063,2520.220922552649,-3000.0,0.7506,118.0,1.037092611614451,1.2675328108138715,2.586,1793.0,mrm,Canonical MRM,static
0.95,5000,0.1712,0.4656,0.7184,0.9388,0.8128,0.5932,6015.35302718377,4602.92662660511,3992.6530271837696,2582.855457857787,-3384.1666268080044,0.7714,114.0,1.0539953630923797,1.2943026233705737,3.0454,2022.7,mrm,Canonical MRM,static
1.0,5000,0.2208,0.5522,0.8026,0.9666,0.9096,0.5358,6142.418455510296,4761.279438991863,3654.518455510296,2324.226780982921,-4000.0,0.7736,113.0,1.0484125993222162,1.276583434532666,3.9758,2487.9,mrm,Canonical MRM,static
0.1,5000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-500.0,-500.0,-500.0,0.0,,0.2075881001091475,0.3779952278466123,0.0,500.0,mrm,Canonical MRM,trailing_to_breakeven
0.15,5000,0.0,0.0,0.0,0.0008,0.0,0.0008,0.22398908488827993,0.0,-500.17601091511176,-500.0,-500.0,0.0002,248.0,0.3113821501637213,0.5669928417698927,0.0008,500.4,mrm,Canonical MRM,trailing_to_breakeven
0.2,5000,0.0,0.0,0.0004,0.0082,0.0,0.0082,11.883187560041394,0.0,-492.2168124399586,-500.0,-500.0,0.014,228.0,0.4151762002182768,0.7559904556931996,0.0082,504.1,mrm,Canonical MRM,trailing_to_breakeven
