strategy,rebalance_date,next_rebalance_date,group,symbol,next_period_return
Market-Residual Momentum,2023-10-02,2023-11-01,outgoing,IBM,0.03541862396379236
Market-Residual Momentum,2023-10-02,2023-11-01,universe_median,__UNIVERSE_MEDIAN__,0.0010325205902894652
Market-Residual Momentum,2023-11-01,2023-12-01,new,IBM,0.10487276249137345
Market-Residual Momentum,2023-11-01,2023-12-01,retained,V,0.08551945371012715
Market-Residual Momentum,2023-11-01,2023-12-01,retained,PG,0.01758695528320997
Market-Residual Momentum,2023-11-01,2023-12-01,retained,MCD,0.08344959642853511
Market-Residual Momentum,2023-11-01,2023-12-01,retained,WMT,-0.0537727105366157
Market-Residual Momentum,2023-11-01,2023-12-01,outgoing,KO,0.034049050129918434
Market-Residual Momentum,2023-11-01,2023-12-01,universe_median,__UNIVERSE_MEDIAN__,0.08551945371012715
Market-Residual Momentum,2023-12-01,2024-01-02,new,KO,0.00909557350390422
Market-Residual Momentum,2023-12-01,2024-01-02,new,JPM,0.08516231188318368
Market-Residual Momentum,2023-12-01,2024-01-02,retained,V,0.014934213393595464
Market-Residual Momentum,2023-12-01,2024-01-02,retained,PG,-0.04545758054358584
Market-Residual Momentum,2023-12-01,2024-01-02,retained,MCD,0.04165901334098576
Market-Residual Momentum,2023-12-01,2024-01-02,outgoing,IBM,0.027902151606054915
Market-Residual Momentum,2023-12-01,2024-01-02,outgoing,WMT,0.015793897221504816
Market-Residual Momentum,2023-12-01,2024-01-02,universe_median,__UNIVERSE_MEDIAN__,0.045299261674597524
Market-Residual Momentum,2024-01-02,2024-02-01,new,IBM,0.1277407504344079
Market-Residual Momentum,2024-01-02,2024-02-01,retained,V,0.05307966430259481
Market-Residual Momentum,2024-01-02,2024-02-01,retained,KO,0.013095290677169746
Market-Residual Momentum,2024-01-02,2024-02-01,retained,JPM,0.03324113758379599
Market-Residual Momentum,2024-01-02,2024-02-01,retained,MCD,-0.011353916818629961
Market-Residual Momentum,2024-01-02,2024-02-01,outgoing,PG,0.07789077509763986
Market-Residual Momentum,2024-01-02,2024-02-01,universe_median,__UNIVERSE_MEDIAN__,0.02669892665497442
Market-Residual Momentum,2024-02-01,2024-03-01,retained,V,0.03781440686106752
Market-Residual Momentum,2024-02-01,2024-03-01,retained,JPM,0.06945396580855845
Market-Residual Momentum,2024-02-01,2024-03-01,retained,MCD,0.0046208996301508876
Market-Residual Momentum,2024-02-01,2024-03-01,retained,IBM,0.019338169722316056
Market-Residual Momentum,2024-02-01,2024-03-01,retained,KO,0.00553962315281864
Market-Residual Momentum,2024-02-01,2024-03-01,universe_median,__UNIVERSE_MEDIAN__,0.02297441619608076
Market-Residual Momentum,2024-03-01,2024-04-01,new,HD,0.008916729773830623
Market-Residual Momentum,2024-03-01,2024-04-01,new,HON,0.03947558873166912
Market-Residual Momentum,2024-03-01,2024-04-01,new,JNJ,-0.025397154459727678
Market-Residual Momentum,2024-03-01,2024-04-01,retained,V,-0.010028420947234218
Market-Residual Momentum,2024-03-01,2024-04-01,retained,JPM,0.07695209994793006
Market-Residual Momentum,2024-03-01,2024-04-01,outgoing,KO,0.02953868968762685
Market-Residual Momentum,2024-03-01,2024-04-01,outgoing,MCD,-0.033940845995896085
Market-Residual Momentum,2024-03-01,2024-04-01,outgoing,IBM,0.024314046509141374
Market-Residual Momentum,2024-03-01,2024-04-01,universe_median,__UNIVERSE_MEDIAN__,0.0288944352784819
Market-Residual Momentum,2024-04-01,2024-05-01,new,KO,0.010133922414413021
Market-Residual Momentum,2024-04-01,2024-05-01,retained,V,-0.04355127447531071
Market-Residual Momentum,2024-04-01,2024-05-01,retained,JPM,-0.03299382546972962
Market-Residual Momentum,2024-04-01,2024-05-01,retained,HON,-0.06533920318886044
Market-Residual Momentum,2024-04-01,2024-05-01,retained,JNJ,-0.05693627218825714
Market-Residual Momentum,2024-04-01,2024-05-01,outgoing,HD,-0.12703494674680582
Market-Residual Momentum,2024-04-01,2024-05-01,universe_median,__UNIVERSE_MEDIAN__,-0.03595025211447522
Market-Residual Momentum,2024-05-01,2024-06-03,new,MCD,-0.043390854928033296
Market-Residual Momentum,2024-05-01,2024-06-03,retained,V,0.020307546430767376
Market-Residual Momentum,2024-05-01,2024-06-03,retained,KO,0.014724793955003923
Market-Residual Momentum,2024-05-01,2024-06-03,retained,HON,0.0673500962762612
Market-Residual Momentum,2024-05-01,2024-06-03,retained,JNJ,-0.0020149191770540975
Market-Residual Momentum,2024-05-01,2024-06-03,outgoing,JPM,0.052218079831295006
Market-Residual Momentum,2024-05-01,2024-06-03,universe_median,__UNIVERSE_MEDIAN__,0.022466642718343977
Market-Residual Momentum,2024-06-03,2024-07-01,new,CSCO,0.016267160384621393
Market-Residual Momentum,2024-06-03,2024-07-01,new,PG,0.010126407908318757
Market-Residual Momentum,2024-06-03,2024-07-01,new,MSFT,0.081762204822458
Market-Residual Momentum,2024-06-03,2024-07-01,retained,V,-0.03405457161956249
Market-Residual Momentum,2024-06-03,2024-07-01,retained,KO,0.028972060656963672
Market-Residual Momentum,2024-06-03,2024-07-01,outgoing,MCD,-0.01201878144024715
Market-Residual Momentum,2024-06-03,2024-07-01,outgoing,HON,0.045726663514856325
Market-Residual Momentum,2024-06-03,2024-07-01,outgoing,JNJ,-0.008013598019529278
Market-Residual Momentum,2024-06-03,2024-07-01,universe_median,__UNIVERSE_MEDIAN__,0.0058281441437455506
Market-Residual Momentum,2024-07-01,2024-08-01,new,HON,-0.041334537325401155
Market-Residual Momentum,2024-07-01,2024-08-01,retained,V,0.009628664736609727
Market-Residual Momentum,2024-07-01,2024-08-01,retained,KO,0.04638448009808527
Market-Residual Momentum,2024-07-01,2024-08-01,retained,PG,-0.02260048932746328
Market-Residual Momentum,2024-07-01,2024-08-01,retained,MSFT,-0.06388064391595383
Market-Residual Momentum,2024-07-01,2024-08-01,outgoing,CSCO,0.03278303282887851
Market-Residual Momentum,2024-07-01,2024-08-01,universe_median,__UNIVERSE_MEDIAN__,0.03760041125932956
Market-Residual Momentum,2024-08-01,2024-09-03,retained,V,0.03977851102678365
Market-Residual Momentum,2024-08-01,2024-09-03,retained,HON,0.021808839323512963
Market-Residual Momentum,2024-08-01,2024-09-03,retained,MSFT,-0.0050541213367137905
Market-Residual Momentum,2024-08-01,2024-09-03,retained,KO,0.08119422650376751
Market-Residual Momentum,2024-08-01,2024-09-03,retained,PG,0.06309062708355073
Market-Residual Momentum,2024-08-01,2024-09-03,universe_median,__UNIVERSE_MEDIAN__,0.026541884619424527
Market-Residual Momentum,2024-09-03,2024-10-01,retained,V,0.0021708587741202656
Market-Residual Momentum,2024-09-03,2024-10-01,retained,HON,-0.0058751982863195495
Market-Residual Momentum,2024-09-03,2024-10-01,retained,MSFT,0.027150800038795664
Market-Residual Momentum,2024-09-03,2024-10-01,retained,KO,0.0021299571560173813
Market-Residual Momentum,2024-09-03,2024-10-01,retained,PG,0.012921797314562777
Market-Residual Momentum,2024-09-03,2024-10-01,universe_median,__UNIVERSE_MEDIAN__,0.027150800038795664
Market-Residual Momentum,2024-10-01,2024-11-01,retained,V,0.041593144615723165
Market-Residual Momentum,2024-10-01,2024-11-01,retained,HON,-0.0006781001141641374
Market-Residual Momentum,2024-10-01,2024-11-01,retained,MSFT,-0.047166703543597754
Market-Residual Momentum,2024-10-01,2024-11-01,retained,KO,-0.09195578464658416
Market-Residual Momentum,2024-10-01,2024-11-01,retained,PG,-0.04016448884771373
Market-Residual Momentum,2024-10-01,2024-11-01,universe_median,__UNIVERSE_MEDIAN__,-0.019607804877414203
Market-Residual Momentum,2024-11-01,2024-12-02,new,JNJ,-0.02857322598996337
Market-Residual Momentum,2024-11-01,2024-12-02,retained,KO,-0.014269115550853195
Market-Residual Momentum,2024-11-01,2024-12-02,retained,PG,0.08353999884533736
Market-Residual Momentum,2024-11-01,2024-12-02,retained,MSFT,0.03471566539058313
Market-Residual Momentum,2024-11-01,2024-12-02,retained,HON,0.13596366082691014
Market-Residual Momentum,2024-11-01,2024-12-02,outgoing,V,0.10056652259588228
Market-Residual Momentum,2024-11-01,2024-12-02,universe_median,__UNIVERSE_MEDIAN__,0.08238946481383524
Market-Residual Momentum,2024-12-02,2025-01-02,new,WMT,-0.02844902741823785
Market-Residual Momentum,2024-12-02,2025-01-02,retained,KO,-0.026541913960426156
Market-Residual Momentum,2024-12-02,2025-01-02,retained,PG,-0.06157874610800462
Market-Residual Momentum,2024-12-02,2025-01-02,retained,MSFT,0.0074968314352135135
Market-Residual Momentum,2024-12-02,2025-01-02,retained,JNJ,-0.06151874955435788
Market-Residual Momentum,2024-12-02,2025-01-02,outgoing,HON,-0.02624467747789483
Market-Residual Momentum,2024-12-02,2025-01-02,universe_median,__UNIVERSE_MEDIAN__,-0.02844902741823785
Market-Residual Momentum,2025-01-02,2025-02-03,new,CSCO,0.022442216627922118
Market-Residual Momentum,2025-01-02,2025-02-03,new,AAPL,-0.07608560980484891
Market-Residual Momentum,2025-01-02,2025-02-03,retained,KO,0.013311989867220264
Market-Residual Momentum,2025-01-02,2025-02-03,retained,MSFT,-0.032735615345496294
Market-Residual Momentum,2025-01-02,2025-02-03,retained,JNJ,0.046615869006154664
Market-Residual Momentum,2025-01-02,2025-02-03,outgoing,PG,-0.009584277294568566
Market-Residual Momentum,2025-01-02,2025-02-03,outgoing,WMT,0.07546119713082122
Market-Residual Momentum,2025-01-02,2025-02-03,universe_median,__UNIVERSE_MEDIAN__,0.0016100291591740756
Market-Residual Momentum,2025-02-03,2025-03-03,new,V,0.06944345894756632
Market-Residual Momentum,2025-02-03,2025-03-03,retained,CSCO,0.06977897249912335
Market-Residual Momentum,2025-02-03,2025-03-03,retained,KO,0.11174427869201775
Market-Residual Momentum,2025-02-03,2025-03-03,retained,MSFT,-0.0291067183091942
Market-Residual Momentum,2025-02-03,2025-03-03,retained,JNJ,0.09395040064115467
Market-Residual Momentum,2025-02-03,2025-03-03,outgoing,AAPL,0.05246243948609419
Market-Residual Momentum,2025-02-03,2025-03-03,universe_median,__UNIVERSE_MEDIAN__,0.031084686640632242
Market-Residual Momentum,2025-03-03,2025-04-01,new,MCD,0.016130627647664042
Market-Residual Momentum,2025-03-03,2025-04-01,retained,V,-0.034600600221798894
Market-Residual Momentum,2025-03-03,2025-04-01,retained,KO,0.028031847919401276
Market-Residual Momentum,2025-03-03,2025-04-01,retained,JNJ,-0.025642731657509743
Market-Residual Momentum,2025-03-03,2025-04-01,retained,CSCO,-0.04674640960838261
Market-Residual Momentum,2025-03-03,2025-04-01,outgoing,MSFT,-0.060603910340834344
Market-Residual Momentum,2025-03-03,2025-04-01,universe_median,__UNIVERSE_MEDIAN__,-0.04674640960838261
Market-Residual Momentum,2025-04-01,2025-05-01,new,MSFT,0.15070069252944007
Market-Residual Momentum,2025-04-01,2025-05-01,retained,V,-0.013868189202723702
Market-Residual Momentum,2025-04-01,2025-05-01,retained,KO,0.004464210963665227
Market-Residual Momentum,2025-04-01,2025-05-01,retained,JNJ,-0.035649852903129275
Market-Residual Momentum,2025-04-01,2025-05-01,retained,CSCO,-0.052366143734959625
Market-Residual Momentum,2025-04-01,2025-05-01,outgoing,MCD,0.00022356591725958275
Market-Residual Momentum,2025-04-01,2025-05-01,universe_median,__UNIVERSE_MEDIAN__,-0.0265694460325675
Market-Residual Momentum,2025-05-01,2025-06-02,new,AXP,0.09085833111189179
