strategy,rebalance_date,next_rebalance_date,group,symbol,next_period_return
Dual Momentum,2023-07-03,2023-08-01,outgoing,MRK,-0.04254386570190605
Dual Momentum,2023-07-03,2023-08-01,universe_median,__UNIVERSE_MEDIAN__,0.03139520866030332
Dual Momentum,2023-08-01,2023-09-01,new,INTC,0.002757182168205974
Dual Momentum,2023-08-01,2023-09-01,retained,CRM,-0.001741840907222958
Dual Momentum,2023-08-01,2023-09-01,retained,BA,-0.04862135509735721
Dual Momentum,2023-08-01,2023-09-01,retained,CAT,0.04417965145602287
Dual Momentum,2023-08-01,2023-09-01,retained,MSFT,-0.009482763222981916
Dual Momentum,2023-08-01,2023-09-01,outgoing,JPM,-0.07203230135272587
Dual Momentum,2023-08-01,2023-09-01,universe_median,__UNIVERSE_MEDIAN__,-0.009482763222981916
Dual Momentum,2023-09-01,2023-10-02,new,AAPL,-0.09641673720157162
Dual Momentum,2023-09-01,2023-10-02,retained,CRM,-0.10156610295057367
Dual Momentum,2023-09-01,2023-10-02,retained,BA,-0.15278760521812773
Dual Momentum,2023-09-01,2023-10-02,retained,MSFT,-0.04715943021686364
Dual Momentum,2023-09-01,2023-10-02,retained,INTC,-0.0050294636428385164
Dual Momentum,2023-09-01,2023-10-02,outgoing,CAT,-0.04269648435461948
Dual Momentum,2023-09-01,2023-10-02,universe_median,__UNIVERSE_MEDIAN__,-0.055804783711945194
Dual Momentum,2023-10-02,2023-11-01,new,CSCO,-0.026451586224747192
Dual Momentum,2023-10-02,2023-11-01,retained,CRM,0.0005977301653818934
Dual Momentum,2023-10-02,2023-11-01,retained,AAPL,-0.0012849567243802262
Dual Momentum,2023-10-02,2023-11-01,retained,MSFT,0.07433295452853028
Dual Momentum,2023-10-02,2023-11-01,retained,INTC,0.024993010688056483
Dual Momentum,2023-10-02,2023-11-01,outgoing,BA,-0.009296489099851812
Dual Momentum,2023-10-02,2023-11-01,universe_median,__UNIVERSE_MEDIAN__,0.0010325205902894652
Dual Momentum,2023-11-01,2023-12-01,new,WMT,-0.0537727105366157
Dual Momentum,2023-11-01,2023-12-01,retained,INTC,0.21933879030759518
Dual Momentum,2023-11-01,2023-12-01,retained,CRM,0.24427630189323435
Dual Momentum,2023-11-01,2023-12-01,retained,MSFT,0.11314470964604317
Dual Momentum,2023-11-01,2023-12-01,retained,AAPL,0.11450743377095418
Dual Momentum,2023-11-01,2023-12-01,outgoing,CSCO,-0.07225232745274046
Dual Momentum,2023-11-01,2023-12-01,universe_median,__UNIVERSE_MEDIAN__,0.08551945371012715
Dual Momentum,2023-12-01,2024-01-02,new,IBM,0.027902151606054915
Dual Momentum,2023-12-01,2024-01-02,retained,INTC,0.10910727478132021
Dual Momentum,2023-12-01,2024-01-02,retained,CRM,0.04215989529896058
Dual Momentum,2023-12-01,2024-01-02,retained,MSFT,-0.00769746389880599
Dual Momentum,2023-12-01,2024-01-02,retained,AAPL,-0.016707982906554397
Dual Momentum,2023-12-01,2024-01-02,outgoing,WMT,0.015793897221504816
Dual Momentum,2023-12-01,2024-01-02,universe_median,__UNIVERSE_MEDIAN__,0.045299261674597524
Dual Momentum,2024-01-02,2024-02-01,new,CAT,0.03821994929969552
Dual Momentum,2024-01-02,2024-02-01,new,JPM,0.03324113758379599
Dual Momentum,2024-01-02,2024-02-01,retained,CRM,0.08240601568740336
Dual Momentum,2024-01-02,2024-02-01,retained,MSFT,0.07481439856330585
Dual Momentum,2024-01-02,2024-02-01,retained,INTC,-0.12296747636891425
Dual Momentum,2024-01-02,2024-02-01,outgoing,IBM,0.1277407504344079
Dual Momentum,2024-01-02,2024-02-01,outgoing,AAPL,-0.0168847062316555
Dual Momentum,2024-01-02,2024-02-01,universe_median,__UNIVERSE_MEDIAN__,0.02669892665497442
Dual Momentum,2024-02-01,2024-03-01,new,AMGN,-0.1139538758717571
Dual Momentum,2024-02-01,2024-03-01,new,IBM,0.019338169722316056
Dual Momentum,2024-02-01,2024-03-01,retained,CRM,0.08861374801573985
Dual Momentum,2024-02-01,2024-03-01,retained,CAT,0.10143764655828691
Dual Momentum,2024-02-01,2024-03-01,retained,INTC,0.008974271474517126
Dual Momentum,2024-02-01,2024-03-01,outgoing,JPM,0.06945396580855845
Dual Momentum,2024-02-01,2024-03-01,outgoing,MSFT,0.025385191855771705
Dual Momentum,2024-02-01,2024-03-01,universe_median,__UNIVERSE_MEDIAN__,0.02297441619608076
Dual Momentum,2024-03-01,2024-04-01,new,AXP,0.03707077556514604
Dual Momentum,2024-03-01,2024-04-01,retained,IBM,0.024314046509141374
Dual Momentum,2024-03-01,2024-04-01,retained,CRM,-0.016012634617910138
Dual Momentum,2024-03-01,2024-04-01,retained,CAT,0.10023975624901671
Dual Momentum,2024-03-01,2024-04-01,retained,INTC,0.02027188351863396
Dual Momentum,2024-03-01,2024-04-01,outgoing,AMGN,0.020289209023750088
Dual Momentum,2024-03-01,2024-04-01,universe_median,__UNIVERSE_MEDIAN__,0.0288944352784819
Dual Momentum,2024-04-01,2024-05-01,new,TRV,-0.07680265172091794
Dual Momentum,2024-04-01,2024-05-01,new,JPM,-0.03299382546972962
Dual Momentum,2024-04-01,2024-05-01,retained,CRM,-0.10829007938373547
Dual Momentum,2024-04-01,2024-05-01,retained,CAT,-0.08948709998968718
Dual Momentum,2024-04-01,2024-05-01,retained,IBM,-0.12794715500949616
Dual Momentum,2024-04-01,2024-05-01,outgoing,AXP,0.02859041705832177
Dual Momentum,2024-04-01,2024-05-01,outgoing,INTC,-0.31880787301537483
Dual Momentum,2024-04-01,2024-05-01,universe_median,__UNIVERSE_MEDIAN__,-0.03595025211447522
Dual Momentum,2024-05-01,2024-06-03,new,AXP,0.02984308074897668
Dual Momentum,2024-05-01,2024-06-03,new,DIS,-0.06397696099535566
Dual Momentum,2024-05-01,2024-06-03,retained,CAT,0.022466642718343977
Dual Momentum,2024-05-01,2024-06-03,retained,TRV,0.011500751744359938
Dual Momentum,2024-05-01,2024-06-03,retained,JPM,0.052218079831295006
Dual Momentum,2024-05-01,2024-06-03,outgoing,CRM,-0.12787151392834317
Dual Momentum,2024-05-01,2024-06-03,outgoing,IBM,0.015107578393017684
Dual Momentum,2024-05-01,2024-06-03,universe_median,__UNIVERSE_MEDIAN__,0.022466642718343977
Dual Momentum,2024-06-03,2024-07-01,new,GS,-0.009501442282580208
