strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_exit_rank,outgoing_prior_score,outgoing_exit_score,incoming_rank,incoming_score,score_differential,outgoing_realized_return,outgoing_mfe,outgoing_mae,outgoing_state,removal_reason,rank_bucket,incoming_return,outgoing_counterfactual_return,replacement_advantage,large_winner,large_loser
Market-Residual Momentum,2024-11-01,2024-12-02,V,JNJ,3,6,-0.005070820481993921,-0.007286502398499151,5,-0.006567251256022866,0.0007192511424762849,0.3299730080407779,0.34412597429698977,-0.022737640733710762,winner,fell below top-N,just outside boundary,-0.02857322598996337,0.10056652259588228,-0.12913974858584565,True,False
Market-Residual Momentum,2024-12-02,2025-01-02,HON,WMT,4,7,-0.006411429065975249,-0.007549758405181239,5,-0.007301899287121882,0.000247859118059357,0.1054713440138424,0.1054713440138424,-0.07699177198770324,winner,fell below top-N,just outside boundary,-0.02844902741823785,-0.02624467747789483,-0.00220434994034302,False,False
Market-Residual Momentum,2025-01-02,2025-02-03,PG,CSCO,4,6,-0.006829744614626265,-0.007140049348662747,4,-0.006430880701904007,0.0007091686467587399,0.03760879732999611,0.10927649569014086,-0.013439340298112445,winner,fell below top-N,just outside boundary,0.022442216627922118,-0.009584277294568566,0.032026493922490684,False,False
Market-Residual Momentum,2025-01-02,2025-02-03,WMT,AAPL,5,7,-0.007301899287121882,-0.007731030613143508,5,-0.006809362401263508,0.0009216682118800001,-0.02844902741823785,0.031027880801759444,-0.02844902741823785,loser,fell below top-N,just outside boundary,-0.07608560980484891,0.07546119713082122,-0.15154680693567013,False,False
Market-Residual Momentum,2025-02-03,2025-03-03,AAPL,V,5,7,-0.006809362401263508,-0.007503047742695501,5,-0.006820495192982778,0.0006825525497127227,-0.07608560980484891,0.0,-0.1056120424218393,loser,fell below top-N,just outside boundary,0.06944345894756632,0.05246243948609419,0.016981019461472124,False,False
Market-Residual Momentum,2025-03-03,2025-04-01,MSFT,MCD,3,6,-0.005145492051596645,-0.007031498820328275,3,-0.006524918274078084,0.0005065805462501904,-0.03462727068916871,0.1273317379602068,-0.049045827952120646,loser,fell below top-N,just outside boundary,0.016130627647664042,-0.060603910340834344,0.07673453798849839,False,False
Market-Residual Momentum,2025-04-01,2025-05-01,MCD,MSFT,3,7,-0.006524918274078084,-0.00843060891922176,5,-0.007431862460316574,0.0009987464589051864,0.016130627647664042,0.04277692759295704,-0.03443578181361573,winner,fell below top-N,just outside boundary,0.15070069252944007,0.00022356591725958275,0.1504771266121805,False,False
Market-Residual Momentum,2025-05-01,2025-06-02,JNJ,AXP,2,9,-0.006137595424937303,-0.011500917664963861,3,-0.007969256219021337,0.0035316614459425244,-0.01921549319175364,0.061145492287214775,-0.10823353171732097,loser,fell below top-N,just outside boundary,0.09085833111189179,0.0051892727432159,0.08566905836867589,False,False
Market-Residual Momentum,2025-06-02,2025-07-01,MSFT,JPM,4,6,-0.008278031920990303,-0.009082399495344284,4,-0.006998982727073666,0.0020834167682706184,0.22472028262164945,0.23334687633942508,-0.0536233810434229,winner,fell below top-N,just outside boundary,0.10596157873006962,0.08399419373058548,0.02196738499948414,True,False
Market-Residual Momentum,2025-06-02,2025-07-01,KO,GS,5,9,-0.009362091697665886,-0.009600953354747754,5,-0.007096714188700171,0.002504239166047584,0.21255822562815352,0.24403777471858512,-0.050997083951598965,winner,fell below top-N,just outside boundary,0.1827598823644061,-0.0074311020299389074,0.190190984394345,False,False
Market-Residual Momentum,2025-09-02,2025-10-01,V,MSFT,5,7,-0.007678601071084756,-0.007349478285518352,5,-0.006768638688258277,0.0005808395972600744,0.03263391048836328,0.10164462782634232,-0.09179801676195387,winner,fell below top-N,just outside boundary,0.028633024952197106,-0.02576511196969411,0.054398136921891216,False,False
Market-Residual Momentum,2025-10-01,2025-11-03,MSFT,KO,5,6,-0.006768638688258277,-0.006863997001996691,5,-0.006817421882502228,4.6575119494463024e-05,0.028633024952197106,0.0368354429086597,-0.010929614429211143,winner,fell below top-N,just outside boundary,0.03443097786554139,0.009731914976569334,0.024699062888972056,False,False
Market-Residual Momentum,2025-11-03,2025-12-01,CSCO,MCD,3,7,-0.006243674910541119,-0.006306864671900558,2,-0.005345481782032313,0.0009613828898682453,0.2912779007562665,0.2912779007562665,-0.09043383115358361,winner,fell below top-N,just outside boundary,0.045913696525081704,0.02761019529768216,0.018303501227399543,True,False
Market-Residual Momentum,2025-11-03,2025-12-01,AXP,PG,4,16,-0.006533051977371085,-0.00893645108099439,3,-0.005398682270783106,0.0035377688102112836,0.35383753078478697,0.35635004016045957,0.0,winner,fell below top-N,moderate deterioration,-0.013324411519796686,0.00792233880140758,-0.021246750321204266,True,False
Market-Residual Momentum,2025-12-01,2026-01-02,GS,MSFT,5,7,-0.005999310976768202,-0.007428601680343316,1,-0.004770791344575476,0.0026578103357678406,0.3748282362512001,0.4090565570848985,0.0,winner,fell below top-N,just outside boundary,-0.008291725765819491,0.08525929677328392,-0.09355102253910341,True,False
Market-Residual Momentum,2026-01-02,2026-02-02,JPM,JNJ,2,7,-0.0049346247300476875,-0.007095095755431324,5,-0.006973043889594854,0.00012205186583646999,0.23803952077248725,0.2636449092836821,-0.004068008624307673,winner,fell below top-N,just outside boundary,0.10395520631279398,-0.051679617948446555,0.15563482426124053,True,False
Market-Residual Momentum,2026-02-02,2026-03-02,MSFT,TRV,2,6,-0.006153649098864178,-0.0075897550524343105,5,-0.007548860826639636,4.089422579467428e-05,-0.11915486022730148,0.0073294114327557836,-0.11915486022730148,loser,fell below top-N,just outside boundary,0.07572316045926519,-0.0847976999573199,0.1605208604165851,False,True
Market-Residual Momentum,2026-04-01,2026-05-01,PG,AAPL,4,6,-0.006751976240284896,-0.008690051851643066,5,-0.007837502145962016,0.0008525497056810494,-0.03436482229239046,0.12183281792033651,-0.0803465143943094,loser,fell below top-N,just outside boundary,0.09752829417302289,0.035182374128667426,0.06234592004435546,False,False
