date,equity
2022-11-09,11673.783370386418
2022-11-10,11764.432565412113
2022-11-11,11574.5190859909
2022-11-14,11610.670278783631
2022-11-15,11512.175977517878
2022-11-16,11555.809053337853
2022-11-17,11686.758544571368
2022-11-18,11799.30685294011
2022-11-21,11775.17689907741
2022-11-22,11899.465259440605
2022-11-23,11883.66641807408
2022-11-25,11940.03303344007
2022-11-28,11828.957156587037
2022-11-29,11859.89676043396
2022-11-30,12072.781172937892
2022-12-01,12056.09505807438
2022-12-02,12035.144870042259
2022-12-05,11913.79470381498
2022-12-06,11774.06083758562
2022-12-07,11830.542837397375
2022-12-08,11887.259082647137
2022-12-09,11661.397044252499
2022-12-12,11766.86225044668
2022-12-13,11868.273240612913
2022-12-14,11851.618365903254
2022-12-15,11589.5680756313
2022-12-16,11545.682829839354
2022-12-19,11526.629957877418
2022-12-20,11629.487873272445
2022-12-21,11781.410423542486
2022-12-22,11678.14428223457
2022-12-23,11786.959925346433
2022-12-27,11863.545561381816
2022-12-28,11711.66612709587
2022-12-29,11763.374157472837
2022-12-30,11767.984965052074
2023-01-03,11702.918290793794
2023-01-04,11687.301974081201
2023-01-05,11698.188148331
2023-01-06,11922.328266963783
2023-01-09,11765.456068559433
2023-01-10,11854.752082683295
2023-01-11,11858.602331329948
2023-01-12,11925.338865148902
2023-01-13,11961.691430846164
2023-01-17,11881.943232153446
2023-01-18,11584.937761912584
2023-01-19,11581.737729154418
2023-01-20,11643.122247278157
2023-01-23,11649.075294788103
2023-01-24,11631.687185670362
2023-01-25,11566.695107391426
2023-01-26,11554.205340771507
2023-01-27,11387.231623026131
2023-01-30,11304.147076265124
2023-01-31,11337.162982152287
2023-02-01,11341.957998308706
2023-02-02,11181.700084534932
2023-02-03,11199.044833696773
2023-02-06,11282.181318095816
2023-02-07,11436.532464482932
2023-02-08,11424.216398812001
2023-02-09,11305.793462905678
2023-02-10,11397.577478990732
2023-02-13,11494.035777503936
2023-02-14,11468.994089819971
2023-02-15,11500.646869839009
2023-02-16,11342.569017733333
2023-02-17,11407.719366199752
2023-02-21,11180.63621232079
2023-02-22,11140.927858535908
2023-02-23,11231.546766114268
2023-02-24,11117.263813874679
2023-02-27,11195.384959696235
2023-02-28,11069.618020683823
2023-03-01,11166.974441805505
2023-03-02,11249.562931980032
2023-03-03,11373.95385662556
2023-03-06,11401.493311361814
2023-03-07,11202.025658706285
2023-03-08,11124.442743530273
2023-03-09,10843.019824159022
2023-03-10,10785.84448424982
2023-03-13,10695.971422114975
2023-03-14,10853.169688005824
2023-03-15,10615.609124019182
2023-03-16,10703.813058434802
2023-03-17,10519.026686050205
2023-03-20,10689.513743458434
2023-03-21,10769.932386446042
2023-03-22,10540.02291083878
2023-03-23,10563.40425891275
2023-03-24,10537.16296073793
2023-03-27,10717.506410748463
2023-03-28,10753.291743496799
2023-03-29,10813.316642436926
2023-03-30,10898.7694207465
2023-03-31,11015.586833853853
2023-04-03,11093.571780061837
2023-04-04,10925.846504294164
2023-04-05,10859.209511511206
2023-04-06,10837.094888389747
2023-04-10,10854.872266092729
2023-04-11,10866.05229656698
2023-04-12,10823.266517732538
2023-04-13,10952.340597454078
2023-04-14,10817.71318607025
2023-04-17,10871.737294292054
