date,equity
2023-07-18,10168.884031663796
2023-07-19,10227.82691429622
2023-07-20,10274.681771800178
2023-07-21,10261.852331343558
2023-07-24,10293.867987602143
2023-07-25,10256.432738175816
2023-07-26,10282.309137317581
2023-07-27,10241.362251890556
2023-07-28,10283.2038049667
2023-07-31,10281.802330359422
2023-08-01,10261.053731923539
2023-08-02,10207.59381279408
2023-08-03,10202.967255282385
2023-08-04,10038.09760405192
2023-08-07,10101.312187334499
2023-08-08,10072.363013540427
2023-08-09,10058.07531559118
2023-08-10,10053.06652413915
2023-08-11,10080.21327325908
2023-08-14,10098.826152876685
2023-08-15,10023.342007208557
2023-08-16,9990.43399529896
2023-08-17,9880.208783095646
2023-08-18,9931.608794026748
2023-08-21,9922.411905898292
2023-08-22,9929.8288018691
2023-08-23,10017.62524478687
2023-08-24,9925.779066378911
2023-08-25,10013.015702458148
2023-08-28,10051.45960348037
2023-08-29,10120.341951170865
2023-08-30,10183.507207316006
2023-08-31,10166.957834863024
2023-09-01,10180.749105162697
2023-09-05,10114.632970827033
2023-09-06,10107.220727402924
2023-09-07,10138.491891262644
2023-09-08,10152.15301706684
2023-09-11,10191.080654417201
2023-09-12,10152.249607845035
2023-09-13,10173.033829004506
2023-09-14,10178.625724683945
2023-09-15,10083.46177593302
2023-09-18,10093.980079620169
2023-09-19,10103.085744957969
2023-09-20,10143.83159242285
2023-09-21,9967.352465541211
2023-09-22,9962.884360678572
2023-09-25,9913.498645834103
2023-09-26,9799.707409983135
2023-09-27,9738.286642093917
2023-09-28,9753.645848296677
2023-09-29,9679.791559195337
2023-10-02,9634.26408848477
2023-10-03,9560.592158231057
2023-10-04,9625.650448267972
2023-10-05,9474.298790579645
2023-10-06,9455.680997662597
2023-10-09,9437.545603701985
2023-10-10,9547.458579782067
2023-10-11,9508.136029197594
2023-10-12,9464.458725601293
2023-10-13,9519.249715275379
2023-10-16,9605.212729224802
2023-10-17,9650.739208324281
2023-10-18,9706.384228090647
2023-10-19,9682.660974143935
2023-10-20,9657.635901068226
2023-10-23,9628.959010498453
2023-10-24,9778.245532319512
2023-10-25,9822.402843936921
2023-10-26,9724.838927462288
2023-10-27,9646.072074696654
2023-10-30,9792.480493435005
2023-10-31,9851.161746641312
2023-11-01,9905.99225038971
2023-11-02,10035.69371959053
2023-11-03,10030.091678701383
2023-11-06,10065.67740404866
2023-11-07,10077.37043461276
2023-11-08,10030.828222142458
2023-11-09,10010.736506503341
2023-11-10,10122.08455446704
2023-11-13,10146.872467153367
2023-11-14,10210.22729812998
2023-11-15,10258.205620876544
