date,Q1,Q2,Q3,Q4,Q5,horizon
2002-01-09,-0.005975164795257255,-0.0009319546946955196,-0.0023134487681370796,-0.0011740340897470063,-0.004401457833797387,1
2002-01-10,-0.016849436641816134,-0.012429415075296935,-0.01388182151051539,-0.011949685533717764,-0.014959239999054538,1
2002-01-11,-0.02810329934279394,-0.015660665798785695,-0.014464485009732358,-0.014412169283639613,-0.021727344319175425,1
2002-01-14,-0.0022104183486009754,8.901378006408052e-05,0.003427470408998537,0.004640861720233178,0.0021032018703889886,1
2002-01-15,-0.026810488495074628,-0.02319521370865895,-0.020315139796112627,-0.017395914427855652,-0.02462300030692013,1
2002-01-16,0.014625502865687645,0.016009463617354575,0.010028411758133021,0.012368834152634376,0.012576735644283871,1
2002-01-17,-0.015149817633112283,-0.012832327974735663,-0.0096056965553832,-0.01228826569422612,-0.01281564520185199,1
2002-01-18,-0.02299475603686753,-0.014221035063512827,-0.010764007001130638,-0.009151799810559408,-0.01832668825341628,1
2002-01-22,0.020093893717604106,0.02008900818403108,0.016137988195442286,0.014497611690068694,0.017343717873919442,1
2002-01-23,0.019442626452720057,0.010757359945152868,0.008623136847056033,0.0071681866365480035,0.015158892130548059,1
2002-01-24,-0.0052232742231210876,0.002529054833799306,0.005329516318488903,0.0006265535983315402,-0.00030529122061314577,1
2002-01-25,0.0019581405248849824,0.0005192949691454144,0.00457021515815203,0.005671697241421612,0.00803359550040699,1
2002-01-28,-0.02574107351606317,-0.018136063326228784,-0.01683145529715793,-0.019482636665081793,-0.01808965452856159,1
2002-01-29,0.010557648736972817,0.01230134764658302,0.011548321714241892,0.01077119600147089,0.006926722244089134,1
2002-01-30,0.0075689846258602065,0.007894311323261023,0.011916836170004582,0.010813933705401636,0.012793985003012136,1
2002-01-31,-0.0062401174897098385,-0.009373155879697349,-0.006360733516321537,-0.003494711237956993,-0.006973422707388311,1
2002-02-01,-0.04627296700954831,-0.02241165507531773,-0.019647813516480716,-0.019449532389507272,-0.028809997062608905,1
2002-02-04,-0.03035370108843808,-0.007681943997751903,-0.005197814366036586,-0.005309259194368063,-0.013165622228434027,1
