strategy,rebalance_date,next_rebalance_date,outgoing_symbol,incoming_symbol,outgoing_prior_rank,outgoing_current_rank,incoming_current_rank,rank_gap,outgoing_rank_deterioration,outgoing_score,incoming_score,score_spread,score_percentile_spread,outgoing_return_20d,incoming_return_20d,outgoing_return_60d,incoming_return_60d,outgoing_acceleration,incoming_acceleration,outgoing_unrealized_return,outgoing_holding_sessions,outgoing_mfe_to_date,outgoing_mae_to_date,outgoing_giveback,outgoing_recovery_from_mae,outgoing_currently_profitable,incoming_drawdown_from_60d_high,incoming_distance_from_189d_high,outgoing_subsequent_return,incoming_subsequent_return,replacement_advantage,outgoing_future_mfe,outgoing_future_mae,outgoing_future_max_drawdown,incoming_future_mfe,incoming_future_mae,incoming_future_max_drawdown
Market-Residual Momentum,2023-03-01,2023-04-03,AXP,HON,5,21,5,16,16,-0.011959660521084214,-0.005979736303305172,0.005979924217779042,0.5714285714285715,0.007702795585794897,-0.06456312057542846,0.10789423528886077,-0.12585577850521612,-0.028261949510492025,-0.022611194407023083,0.0035182929083774628,19,0.04585303035702948,-0.0014421272541396135,0.042334737448652016,0.004960420162517076,True,-0.12135181706408515,-0.12784203321807863,-0.05417559363716562,-0.003305536309906265,0.050870057327259355,0.040401143039580756,-0.10725620240004552,-0.1260261277742879,0.04240535443516791,-0.0364640262387077,-0.06293134498120123
Market-Residual Momentum,2023-04-03,2023-05-01,HON,CSCO,5,6,5,1,1,-0.006161966896419235,-0.00608283451349767,7.91323829215651e-05,0.03571428571428581,-0.028960499155144426,0.06087689697544563,-0.08525851798563211,0.09947422220216318,-0.0005409931599337225,0.027718822908057904,-0.00042889170033710844,23,0.030533141333443536,-0.03431969529837242,0.030962033033780645,0.03389080359803531,False,0.0,0.0,0.049483327304645996,-0.08654339441033121,-0.1360267217149772,0.053733750793766744,-0.008185768561349671,-0.03517667710811789,0.011962899545330696,-0.11034747937030309,-0.10362084493860557
Market-Residual Momentum,2023-05-01,2023-06-01,CSCO,MCD,5,10,3,7,5,-0.00755185910881051,-0.005169169525768513,0.002382689583041997,0.25,-0.07437465632676998,0.0646531901255265,-0.01986997917271116,0.11712748245224458,-0.06775132993586626,0.02561069597477831,-0.08557598577752412,19,0.004802151237135011,-0.09931629667018549,0.09037813701465913,0.013740310892661367,False,0.0,0.0,0.05423722727333824,-0.03652088108584295,-0.09075810835918119,0.06970359057759978,-0.0347457404307876,-0.034642986233234696,0.010618309704733875,-0.04183003687176434,-0.044117497607346845
Market-Residual Momentum,2023-06-01,2023-07-03,JNJ,WMT,5,7,4,3,2,-0.004866224471706926,-0.004110003336590506,0.0007562211351164194,0.1071428571428572,-0.05332407197825917,-0.024818644067397422,0.0043065427367894316,0.05248622833864869,-0.05475958622385565,-0.042314053513613656,-0.03603850970477174,166,0.10422695349352296,-0.06799915514187316,0.1402654631982947,0.03196064543710142,False,-0.04081774013276618,-0.04081774013276618,0.06341428373555469,0.07249848197283737,0.009084198237282681,0.07590275746602138,-0.008994431538992265,-0.01606077610307277,0.08221046849974667,-0.001846662009506006,-0.022633807171105413
Market-Residual Momentum,2023-07-03,2023-08-01,PG,AAPL,5,7,5,2,2,-0.004958706008135749,-0.004710296546604487,0.00024840946153126264,0.07142857142857151,0.05404258320225752,0.07707261460313264,0.016375181935645022,0.17272428346643065,0.04858418922370918,0.019497853447655755,0.106048377231587,85,0.14125500447193184,-0.010720760322591283,0.035206627240344845,0.11676913755417828,True,0.0,0.0,0.03553054834712399,0.012694967460341378,-0.022835580886782614,0.04748807687499235,-0.029838979074873873,-0.02898372279323247,0.02296433744147608,-0.03705217315631759,-0.029414667138332518
Market-Residual Momentum,2023-09-01,2023-10-02,AAPL,IBM,5,7,5,2,2,-0.0044891568455697195,-0.004314365792988717,0.00017479105258100258,0.07142857142857151,-0.01593523029390842,0.02817377802874277,0.04973872638325605,0.11929837096313234,-0.03251480575499377,-0.01159234562563468,-0.029189225123578022,43,0.013778696289031833,-0.10086188471258828,0.042967921412609855,0.07167265958901026,False,-0.00020422620605142772,-0.00020422620605142772,-0.09641673720157162,-0.049029127001703254,0.04738761019986837,0.0025858273783734287,-0.11541506333377927,-0.10158136014549157,0.03171265305901838,-0.05194902912625343,-0.06534100367233298
Market-Residual Momentum,2023-10-02,2023-11-01,IBM,PG,5,6,5,1,1,-0.004431035787575532,-0.004072877968807398,0.00035815781876813446,0.03571428571428581,-0.04447335580280487,-0.05494359589628439,0.07380847949658076,-0.03428498460063045,-0.06907618230166512,-0.04351526769607424,-0.04726342292597696,20,0.017452222398457673,-0.04726342292597696,0.06471564532443463,0.0,False,-0.07148788694552566,-0.07148788694552566,0.03541862396379236,0.04732026843649817,0.011901644472705808,0.03370468203822008,-0.029777042316133095,-0.04782506931186403,0.05218566759761889,-0.023000673042899322,-0.022842020688568554
Market-Residual Momentum,2023-11-01,2023-12-01,KO,IBM,2,7,4,3,5,-0.0046133349137049695,-0.0040109290118079954,0.0006024059018969741,0.1071428571428572,0.029336665227154723,0.030272658684602938,-0.06948561874927517,0.0008514590733317284,0.052498538143579784,0.02998883899349236,-0.09115108391647442,230,0.01860100051580127,-0.15727541251548527,0.10975208443227569,0.06612432859901085,False,-0.034639494300514384,-0.034639494300514384,0.034049050129918434,0.10487276249137345,0.07082371236145502,0.037420725139042155,-0.0130279815773654,-0.009094111879402789,0.1061980065872008,-0.00379312449488145,-0.00631010023873535
Market-Residual Momentum,2023-12-01,2024-01-02,IBM,JPM,4,7,4,3,3,-0.0051252338052442115,-0.004347201166016168,0.0007780326392280434,0.1071428571428572,0.10287658458832838,0.12336243613394648,0.0830627111056852,0.08465538857685795,0.07518901421976665,0.09514397327499384,0.1059189563290932,21,0.1059189563290932,0.0,0.0,0.1059189563290932,True,0.0,-0.004862917474006467,0.027902151606054915,0.08516231188318368,0.05726016027712877,0.050060078760245874,-0.002588243498712006,-0.028292236424405703,0.09543079400487064,0.0,-0.0112792358417374
Market-Residual Momentum,2023-12-01,2024-01-02,WMT,KO,1,10,5,5,9,-0.006760095868795668,-0.004636534134863979,0.0021235617339316892,0.1785714285714286,-0.055680234306485055,0.04368068949332482,-0.03579612924654729,0.010083072637749213,-0.043748191224302624,0.04031966528074175,0.06862368480855552,127,0.16533443453718677,0.0,0.09671074972863125,0.06862368480855552,True,0.0,-0.06959792657352404,0.015793897221504816,0.00909557350390422,-0.006698323717600596,0.02277041309660044,-0.03401072680284989,-0.0276740603773471,0.030375785996587856,-0.013729193514563476,-0.038711845713512605
Market-Residual Momentum,2024-01-02,2024-02-01,PG,IBM,3,6,5,1,3,-0.004839663543933614,-0.004766760886539045,7.290265739456903e-05,0.03571428571428581,-0.045466477806427985,0.03147078678845672,0.010241331712494306,0.17250190807701782,-0.04888025504392609,-0.026029849237215887,0.018544625443390972,63,0.06706008931223062,-0.012294687307005447,0.04851546386883965,0.03083931275039642,True,-0.007042816041283317,-0.007042816041283317,0.07789077509763986,0.1277407504344079,0.04984997533676805,0.08978543378406711,-0.0003416442439826417,-0.01393130091213357,0.2092368219074483,-0.03033818189440407,-0.03570866885617796
Market-Residual Momentum,2024-03-01,2024-04-01,KO,JNJ,4,6,3,3,2,-0.0047182217620592715,-0.004119344117746615,0.0005988776443126564,0.1071428571428572,0.008909024687717704,0.02331825093761708,0.0235334543401593,0.02667805271623558,0.0010645399076646047,0.014425566698871886,0.030032618264633326,61,0.0509695793299525,-0.011326579407681447,0.02093696106531917,0.041359197672314774,True,-0.002842391427357094,-0.05377411450755998,0.02953868968762685,-0.025397154459727678,-0.05493584414735453,0.033745524932631055,-0.015525825082847833,-0.012451469545575522,0.007909550118903708,-0.04368792136650579,-0.046208817762813936
Market-Residual Momentum,2024-03-01,2024-04-01,MCD,HON,3,7,4,3,4,-0.004863931135702604,-0.004511807972286452,0.00035212316341615146,0.1071428571428572,0.004177864982112478,-0.01205218034372113,0.027916135745019943,0.013357651795550485,-0.005127513599560837,-0.01650473094223796,0.010659077376968362,210,0.03330726131078654,-0.15857082607482842,0.022648183933818178,0.16922990345179678,True,-0.04429032093549634,-0.04429032093549634,-0.033940845995896085,0.03947558873166912,0.0734164347275652,0.01705614928800414,-0.0488006174934662,-0.055084593041861085,0.046712895351965544,-0.01331036856930845,-0.03089692196160576
Market-Residual Momentum,2024-03-01,2024-04-01,IBM,HD,5,19,5,14,14,-0.009227091562511669,-0.004665873268961285,0.004561218293550384,0.5000000000000001,0.016644445958263976,0.07833740528713418,0.16298282203365466,0.19082039613240975,-0.03768316138628758,0.01473060657633092,0.14669848573521427,41,0.16950211415538252,-0.02253867404121901,0.022803628420168254,0.16923715977643328,True,0.0,0.0,0.024314046509141374,0.008916729773830623,-0.015397316735310751,0.07380449848424608,-0.0016713181745753314,-0.04692070536780468,0.049646885919875317,-0.02440802198837344,-0.03863878138567656
Market-Residual Momentum,2024-04-01,2024-05-01,HD,KO,5,6,5,1,1,-0.005012073772096559,-0.004804195504027775,0.00020787826806878407,0.03571428571428581,0.013883753557610401,0.027480179602800137,0.11827489516467171,0.03091543892000348,-0.02554121149728017,0.017175033296132312,0.014550149672259982,20,0.04523009356280294,-0.017399284976927,0.03067994389054296,0.03194943464918698,True,0.0,-0.006287378770127416,-0.12703494674680582,0.010133922414413021,0.13716886916121884,0.004377836847957672,-0.14305179262631973,-0.12973484059251894,0.026969448008782093,-0.053121978712409534,-0.050997083951598965
Market-Residual Momentum,2024-05-01,2024-06-03,JPM,MCD,2,8,5,3,6,-0.005777292217449159,-0.004875718933587514,0.0009015732838616453,0.1071428571428572,-0.030179830228851956,-0.016922351882757147,0.10375118828630647,-0.07559856527044861,-0.06476355965762079,0.008277169874059059,0.24533232049701814,103,0.2933842121718919,0.0,0.04805189167487378,0.24533232049701814,True,-0.07777177427617021,-0.08630273729317073,0.052218079831295006,-0.043390854928033296,-0.0956089347593283,0.07078574430723528,-0.019815979294010022,-0.04497284130853563,0.019750843143038876,-0.08187783566516604,-0.09320001985850346
Market-Residual Momentum,2024-06-03,2024-07-01,HON,MSFT,4,6,3,3,2,-0.004953307038875865,-0.0038604175406949937,0.0010928894981808712,0.1071428571428572,0.04968255851837999,0.0453420672594369,0.013768317780028072,0.034292811968799075,0.04509311925837064,0.03391112993650388,0.02869845003315774,64,0.05123720977193602,-0.03659097181107851,0.02253875973877828,0.06528942184423625,True,-0.0371120525966695,-0.0371120525966695,0.045726663514856325,0.081762204822458,0.03603554130760167,0.0745519156593637,-0.013884828532451987,-0.015691314042583282,0.09780289233393002,-0.01590736016889427,-0.013379875727447699
Market-Residual Momentum,2024-06-03,2024-07-01,JNJ,PG,3,7,4,3,4,-0.005353691381400183,-0.004735830058067658,0.0006178613233325247,0.1071428571428572,-0.013770061634884923,0.004272678953288533,-0.07207487123192724,0.03780424560476647,0.010254895442424156,-0.008328736248300292,-0.08635255158768562,64,0.005623230391632594,-0.10739675955419603,0.09197578197931822,0.02104420796651041,False,-0.022631420510603628,-0.022631420510603628,-0.008013598019529278,0.010126407908318757,0.018140005927848035,0.01677417483547261,-0.022886489637835905,-0.022264004187293684,0.033428975109565995,-0.001829975028194264,-0.02159447810044568
Market-Residual Momentum,2024-06-03,2024-07-01,MCD,CSCO,5,8,5,3,3,-0.005570384016123309,-0.004891355477727233,0.0006790285383960759,0.1071428571428572,-0.052656502499998536,-0.006198093403761984,-0.11620513743868066,-0.04657513168115912,-0.013921456687104983,0.009326950489957722,-0.04602401087528152,22,0.013339187937937869,-0.08110404450127773,0.05936319881321939,0.03508003362599621,False,-0.07018602872481017,-0.17728384140569653,-0.01201878144024715,0.016267160384621393,0.028285941824868543,0.02000526366015909,-0.03326475084588765,-0.04540938717365006,0.02440065876174069,-0.03788533237809166,-0.040067360207022396
Market-Residual Momentum,2024-07-01,2024-08-01,CSCO,HON,5,7,5,2,2,-0.0056766112613708675,-0.004929125932645939,0.0007474853287249283,0.07142857142857151,0.030138484545261912,0.06286410754761174,-0.02523614468562907,0.08111543662000864,0.038550532773804935,0.03582562867427552,0.016909171702375936,19,0.016909171702375936,-0.025684856080940177,0.0,0.04259402778331611,True,-0.01384413942446916,-0.01384413942446916,0.03278303282887851,-0.041334537325401155,-0.07411757015427967,0.03596939099692387,-0.030305562072495906,-0.04451769834453989,0.035891770466224715,-0.06990730489377572,-0.08541844431951151
Market-Residual Momentum,2024-11-01,2024-12-02,V,JNJ,3,6,5,1,3,-0.007286502398499151,-0.006567251256022866,0.0007192511424762849,0.03571428571428581,0.04691910011910627,-0.003987719676848078,0.13219736550184558,0.013677486105373005,0.002853311618491082,-0.008546881711972414,0.3362428222814442,422,0.34412597429698977,-0.022737640733710762,0.00788315201554557,0.35898046301515496,True,-0.044927741487089334,-0.044927741487089334,0.10056652259588228,-0.02857322598996337,-0.12913974858584565,0.09872605966491288,-0.004506179891761941,-0.015280660492992593,0.0029891376389699076,-0.06115311755286068,-0.054240669618964454
Market-Residual Momentum,2024-12-02,2025-01-02,HON,WMT,4,7,5,2,3,-0.007549758405181239,-0.007301899287121882,0.000247859118059357,0.07142857142857151,0.13806249160801287,0.1287371507551731,0.1532008303407597,0.20192306239862368,0.08699554816109298,0.061429463288965216,0.10423882716303434,107,0.10423882716303434,-0.07699177198770324,0.0,0.18123059915073758,True,0.0,0.0,-0.02624467747789483,-0.02844902741823785,-0.00220434994034302,0.021956337086337374,-0.043012160239465747,-0.0428387877508587,0.03619921684834915,-0.040002302341021756,-0.05768700277411143
Market-Residual Momentum,2025-01-02,2025-02-03,PG,CSCO,4,6,4,2,2,-0.007140049348662747,-0.006430880701904007,0.0007091686467587399,0.07142857142857151,-0.06705607518269119,-0.0038701187790377567,-0.0014464449191333717,0.12227474575783881,-0.0665739268763134,-0.044628367364984024,0.03489276759675053,147,0.10927649569014086,-0.013439340298112445,0.07438372809339033,0.048332107894862975,True,-0.013662067333747085,-0.013662067333747085,-0.009584277294568566,0.022442216627922118,0.032026493922490684,0.01717084420542303,-0.0631804310987023,-0.0566958315467182,0.05862436046313224,-0.011871320820869613,-0.050618681361783935
Market-Residual Momentum,2025-01-02,2025-02-03,WMT,AAPL,5,7,5,2,2,-0.007731030613143508,-0.006809362401263508,0.0009216682118800001,0.07142857142857151,-0.022558427708123996,0.045202330953374226,0.11873211010685236,0.10535954626034716,-0.06213579774374145,0.01008248219992517,-0.024453922018428664,21,0.031027880801759444,-0.024454089010318092,0.05548180282018811,1.6699188942759235e-07,False,-0.03320201219569363,-0.03320201219569363,0.07546119713082122,-0.07608560980484891,-0.15154680693567013,0.1002444795518691,-0.005112321590414193,-0.02376338737591721,0.0006829768719587292,-0.11870807115287696,-0.1056120424218393
